kind,timestamp_us,sequence,validity,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps,payload_length,g000_z0_raw,g000_z1_raw,g000_z2_raw,g000_z3_raw,g000_z4_raw,g000_z5_raw,g000_z6_raw,g000_z7_raw,g000_z8_raw,g000_z9_raw,g001_z1_raw,g001_z2_raw,g001_z3_raw,g001_z4_raw,g002_z1_raw,g002_z2_raw,g002_z3_raw,g002_z4_raw,g003_z1_raw,g003_z2_raw,g003_z3_raw,g003_z4_raw,g004_z1_raw,g004_z2_raw,g004_z3_raw,g004_z4_raw
IMU_SAMPLE,92366488,1995,7,-46,163,-985,61,0,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92484445,1996,7,-44,163,-986,0,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92486489,1997,0,0,0,0,0,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,92505935,116,,,,,,,,1112,66,149,61,32,163,32,128,36,30,240,255,61,60,0,255,30,149,66,255,0,0,148,255,0,255,32
IMU_SAMPLE,92526489,1998,7,-45,164,-988,122,-61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92638499,1999,7,-44,163,-987,122,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92646489,2000,5,0,0,0,122,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92686489,2001,7,-44,163,-988,183,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92792445,2002,7,-45,164,-989,0,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92806488,2003,7,-44,164,-987,61,244,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92846489,2004,7,-44,164,-989,61,61,183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92886488,2005,7,-44,164,-986,122,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92926489,2006,7,-47,164,-986,122,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,92940230,117,,,,,,,,1112,66,149,61,32,163,32,128,36,30,240,255,61,60,0,255,30,149,66,255,0,0,148,255,0,255,32
IMU_SAMPLE,93046136,2007,7,-43,163,-988,122,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93086489,2008,7,-44,162,-987,61,0,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93200498,2009,7,-44,164,-985,61,-61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93206489,2010,7,-45,164,-987,0,-61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,93210560,118,,,,,,,,1112,66,149,61,32,163,32,128,36,30,240,255,61,60,0,255,30,149,66,255,0,0,148,255,0,255,32
IMU_SAMPLE,93246490,2011,7,-44,165,-990,61,183,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93354429,2012,7,-45,164,-989,183,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,93366488,2013,7,-45,163,-989,61,61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
