kind,event_subtype,timestamp_us,sequence,validity,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps,payload_length,g000_z0_raw,g000_z1_raw,g000_z2_raw,g000_z3_raw,g000_z4_raw,g000_z5_raw,g000_z6_raw,g000_z7_raw,g000_z8_raw,g000_z9_raw,g001_z1_raw,g001_z2_raw,g001_z3_raw,g001_z4_raw,g002_z1_raw,g002_z2_raw,g002_z3_raw,g002_z4_raw,g003_z1_raw,g003_z2_raw,g003_z3_raw,g003_z4_raw,g004_z1_raw,g004_z2_raw,g004_z3_raw,g004_z4_raw
IMU_SAMPLE,,85302527,1842,7,-37,192,-968,244,-122,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,,85327569,107,,,,,,,,1112,66,148,56,32,163,32,128,36,24,240,255,56,60,0,255,24,147,66,255,0,0,144,255,0,255,32
IMU_SAMPLE,,85342527,1843,7,-38,198,-980,122,183,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85444146,1844,7,-31,197,-971,244,305,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85462527,1845,7,-33,193,-965,305,183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85502527,1846,7,-32,198,-975,61,-61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85598648,1847,7,-37,193,-969,122,-183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85622527,1848,7,-37,193,-977,305,-183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85662527,1849,7,-40,192,-969,244,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85702527,1850,7,-39,193,-970,61,-122,-366,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85742527,1851,7,-40,196,-979,183,305,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85782527,1852,7,-36,197,-967,61,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85822527,1853,7,-36,199,-974,0,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
